Iteration 0 | Test Loss = -0.5455
Iteration 1 | Test Loss = -0.5455
Iteration 2 | Test Loss = -0.5455
Iteration 3 | Test Loss = -0.7273
Iteration 4 | Test Loss = -0.7273
Iteration 5 | Test Loss = -1.0000
Iteration 6 | Test Loss = -0.6364
Iteration 7 | Test Loss = -0.7273
Iteration 8 | Test Loss = -0.5455
Iteration 9 | Test Loss = -0.8182
Iteration 10 | Test Loss = -0.6364
Iteration 11 | Test Loss = -0.6364
Iteration 12 | Test Loss = -0.5455
Iteration 13 | Test Loss = -0.6364
Iteration 14 | Test Loss = -0.5455
Iteration 15 | Test Loss = -0.6364
Iteration 16 | Test Loss = -0.7273
Iteration 17 | Test Loss = -0.8182
Iteration 18 | Test Loss = -0.9091
Iteration 19 | Test Loss = -0.8182
Result for kernel_classification_handover_0_3000_all_svmlinear: -0.6864 ± 0.1301
Iteration 0 | Test Loss = -0.5455
Iteration 1 | Test Loss = -0.6364
Iteration 2 | Test Loss = -0.4545
Iteration 3 | Test Loss = -0.8182
Iteration 4 | Test Loss = -0.7273
Iteration 5 | Test Loss = -0.9091
Iteration 6 | Test Loss = -0.6364
Iteration 7 | Test Loss = -0.8182
Iteration 8 | Test Loss = -0.5455
Iteration 9 | Test Loss = -0.9091
Iteration 10 | Test Loss = -0.6364
Iteration 11 | Test Loss = -0.5455
Iteration 12 | Test Loss = -0.6364
Iteration 13 | Test Loss = -0.6364
Iteration 14 | Test Loss = -0.4545
Iteration 15 | Test Loss = -0.6364
Iteration 16 | Test Loss = -0.7273
Iteration 17 | Test Loss = -0.6364
Iteration 18 | Test Loss = -0.6364
Iteration 19 | Test Loss = -0.8182
Result for kernel_classification_handover_0_3000_all_svmrbf: -0.6682 ± 0.1294
Iteration 0 | Test Loss = -0.4545
Iteration 1 | Test Loss = -0.8182
Iteration 2 | Test Loss = -0.7273
Iteration 3 | Test Loss = -0.8182
Iteration 4 | Test Loss = -0.7273
Iteration 5 | Test Loss = -0.8182
Iteration 6 | Test Loss = -0.5455
Iteration 7 | Test Loss = -0.6364
Iteration 8 | Test Loss = -0.4545
Iteration 9 | Test Loss = -0.8182
Iteration 10 | Test Loss = -0.7273
Iteration 11 | Test Loss = -0.6364
Iteration 12 | Test Loss = -0.6364
Iteration 13 | Test Loss = -0.8182
Iteration 14 | Test Loss = -0.7273
Iteration 15 | Test Loss = -0.4545
Iteration 16 | Test Loss = -0.5455
Iteration 17 | Test Loss = -0.7273
Iteration 18 | Test Loss = -0.9091
Iteration 19 | Test Loss = -0.8182
Result for kernel_classification_handover_0_3000_all_mlp: -0.6909 ± 0.1361
Iteration 0 | Test Loss = -0.6364
Iteration 1 | Test Loss = -0.8182
Iteration 2 | Test Loss = -0.9091
Iteration 3 | Test Loss = -0.5455
Iteration 4 | Test Loss = -0.7273
Iteration 5 | Test Loss = -0.3636
Iteration 6 | Test Loss = -0.3636
Iteration 7 | Test Loss = -0.8182
Iteration 8 | Test Loss = -0.1818
Iteration 9 | Test Loss = -0.2727
Iteration 10 | Test Loss = -0.6364
Iteration 11 | Test Loss = -0.7273
Iteration 12 | Test Loss = -0.5455
Iteration 13 | Test Loss = -0.7273
Iteration 14 | Test Loss = -0.4545
Iteration 15 | Test Loss = -0.6364
Iteration 16 | Test Loss = -0.6364
Iteration 17 | Test Loss = -0.9091
Iteration 18 | Test Loss = -0.6364
Iteration 19 | Test Loss = -0.9091
Result for kernel_classification_handover_1_3000_all_svmlinear: -0.6227 ± 0.2059
Iteration 0 | Test Loss = -0.6364
Iteration 1 | Test Loss = -0.8182
Iteration 2 | Test Loss = -0.7273
Iteration 3 | Test Loss = -0.5455
Iteration 4 | Test Loss = -0.6364
Iteration 5 | Test Loss = -0.2727
Iteration 6 | Test Loss = -0.4545
Iteration 7 | Test Loss = -0.9091
Iteration 8 | Test Loss = -0.2727
Iteration 9 | Test Loss = -0.2727
Iteration 10 | Test Loss = -0.6364
Iteration 11 | Test Loss = -0.7273
Iteration 12 | Test Loss = -0.8182
Iteration 13 | Test Loss = -0.7273
Iteration 14 | Test Loss = -0.6364
Iteration 15 | Test Loss = -0.6364
Iteration 16 | Test Loss = -0.5455
Iteration 17 | Test Loss = -1.0000
Iteration 18 | Test Loss = -0.6364
Iteration 19 | Test Loss = -0.7273
Result for kernel_classification_handover_1_3000_all_svmrbf: -0.6318 ± 0.1939
Iteration 0 | Test Loss = -0.6364
Iteration 1 | Test Loss = -0.9091
Iteration 2 | Test Loss = -0.7273
Iteration 3 | Test Loss = -0.4545
Iteration 4 | Test Loss = -0.6364
Iteration 5 | Test Loss = -0.1818
Iteration 6 | Test Loss = -0.6364
Iteration 7 | Test Loss = -0.8182
Iteration 8 | Test Loss = -0.4545
Iteration 9 | Test Loss = -0.3636
Iteration 10 | Test Loss = -0.5455
Iteration 11 | Test Loss = -0.7273
Iteration 12 | Test Loss = -0.7273
Iteration 13 | Test Loss = -0.8182
Iteration 14 | Test Loss = -0.5455
Iteration 15 | Test Loss = -0.5455
Iteration 16 | Test Loss = -0.6364
Iteration 17 | Test Loss = -0.7273
Iteration 18 | Test Loss = -0.8182
Iteration 19 | Test Loss = -0.6364
Result for kernel_classification_handover_1_3000_all_mlp: -0.6273 ± 0.1698
Iteration 0 | Test Loss = -0.8182
Iteration 1 | Test Loss = -0.7273
Iteration 2 | Test Loss = -1.0000
Iteration 3 | Test Loss = -0.8182
Iteration 4 | Test Loss = -0.8182
Iteration 5 | Test Loss = -0.8182
Iteration 6 | Test Loss = -0.8182
Iteration 7 | Test Loss = -0.8182
Iteration 8 | Test Loss = -0.9091
Iteration 9 | Test Loss = -0.9091
Iteration 10 | Test Loss = -0.5455
Iteration 11 | Test Loss = -0.9091
Iteration 12 | Test Loss = -0.7273
Iteration 13 | Test Loss = -0.9091
Iteration 14 | Test Loss = -0.8182
Iteration 15 | Test Loss = -0.7273
Iteration 16 | Test Loss = -0.7273
Iteration 17 | Test Loss = -0.6364
Iteration 18 | Test Loss = -0.5455
Iteration 19 | Test Loss = -0.5455
Result for kernel_classification_handover_2_3000_all_svmlinear: -0.7773 ± 0.1269
Iteration 0 | Test Loss = -0.7273
Iteration 1 | Test Loss = -0.7273
Iteration 2 | Test Loss = -0.9091
Iteration 3 | Test Loss = -0.7273
Iteration 4 | Test Loss = -0.7273
Iteration 5 | Test Loss = -0.8182
Iteration 6 | Test Loss = -0.8182
Iteration 7 | Test Loss = -0.6364
Iteration 8 | Test Loss = -0.9091
Iteration 9 | Test Loss = -0.8182
Iteration 10 | Test Loss = -0.5455
Iteration 11 | Test Loss = -0.9091
Iteration 12 | Test Loss = -0.9091
Iteration 13 | Test Loss = -0.9091
Iteration 14 | Test Loss = -0.8182
Iteration 15 | Test Loss = -0.7273
Iteration 16 | Test Loss = -0.7273
Iteration 17 | Test Loss = -0.6364
Iteration 18 | Test Loss = -0.6364
Iteration 19 | Test Loss = -0.6364
Result for kernel_classification_handover_2_3000_all_svmrbf: -0.7636 ± 0.1091
Iteration 0 | Test Loss = -0.7273
Iteration 1 | Test Loss = -0.7273
Iteration 2 | Test Loss = -0.7273
Iteration 3 | Test Loss = -0.8182
Iteration 4 | Test Loss = -0.8182
Iteration 5 | Test Loss = -1.0000
Iteration 6 | Test Loss = -0.9091
Iteration 7 | Test Loss = -0.6364
Iteration 8 | Test Loss = -0.9091
Iteration 9 | Test Loss = -1.0000
Iteration 10 | Test Loss = -0.6364
Iteration 11 | Test Loss = -0.7273
Iteration 12 | Test Loss = -0.7273
Iteration 13 | Test Loss = -0.7273
Iteration 14 | Test Loss = -0.8182
Iteration 15 | Test Loss = -0.6364
Iteration 16 | Test Loss = -0.7273
Iteration 17 | Test Loss = -0.5455
Iteration 18 | Test Loss = -0.6364
Iteration 19 | Test Loss = -0.6364
Result for kernel_classification_handover_2_3000_all_mlp: -0.7545 ± 0.1223
Iteration 0 | Test Loss = -0.8571
Iteration 1 | Test Loss = -0.9143
Iteration 2 | Test Loss = -0.9429
Iteration 3 | Test Loss = -0.9143
Iteration 4 | Test Loss = -0.8571
Iteration 5 | Test Loss = -0.8857
Iteration 6 | Test Loss = -0.9429
Iteration 7 | Test Loss = -0.8000
Iteration 8 | Test Loss = -0.9143
Iteration 9 | Test Loss = -0.8571
Iteration 10 | Test Loss = -0.8571
Iteration 11 | Test Loss = -0.9143
Iteration 12 | Test Loss = -0.8571
Iteration 13 | Test Loss = -0.8857
Iteration 14 | Test Loss = -0.9143
Iteration 15 | Test Loss = -0.9143
Iteration 16 | Test Loss = -0.8571
Iteration 17 | Test Loss = -1.0000
Iteration 18 | Test Loss = -0.9143
Iteration 19 | Test Loss = -0.9429
Result for kernel_classification_foodPoking_foodPoking_3000_all_svmlinear: -0.8971 ± 0.0437
Iteration 0 | Test Loss = -0.8571
Iteration 1 | Test Loss = -0.8857
Iteration 2 | Test Loss = -0.9429
Iteration 3 | Test Loss = -0.9143
Iteration 4 | Test Loss = -0.8571
Iteration 5 | Test Loss = -0.8857
Iteration 6 | Test Loss = -0.9714
Iteration 7 | Test Loss = -0.8286
Iteration 8 | Test Loss = -0.9143
Iteration 9 | Test Loss = -0.8571
Iteration 10 | Test Loss = -0.8571
Iteration 11 | Test Loss = -0.9714
Iteration 12 | Test Loss = -0.9143
Iteration 13 | Test Loss = -0.8857
Iteration 14 | Test Loss = -0.9429
Iteration 15 | Test Loss = -0.9143
Iteration 16 | Test Loss = -0.8286
Iteration 17 | Test Loss = -1.0000
Iteration 18 | Test Loss = -0.9143
Iteration 19 | Test Loss = -0.9143
Result for kernel_classification_foodPoking_foodPoking_3000_all_svmrbf: -0.9029 ± 0.0464
Iteration 0 | Test Loss = -0.9429
Iteration 1 | Test Loss = -0.8286
Iteration 2 | Test Loss = -0.9143
Iteration 3 | Test Loss = -0.9143
Iteration 4 | Test Loss = -0.8286
Iteration 5 | Test Loss = -0.9143
Iteration 6 | Test Loss = -0.9429
Iteration 7 | Test Loss = -0.8000
Iteration 8 | Test Loss = -0.8857
Iteration 9 | Test Loss = -0.8857
Iteration 10 | Test Loss = -0.8571
Iteration 11 | Test Loss = -0.9429
Iteration 12 | Test Loss = -0.8857
Iteration 13 | Test Loss = -0.9143
Iteration 14 | Test Loss = -0.8857
Iteration 15 | Test Loss = -0.9143
Iteration 16 | Test Loss = -0.6571
Iteration 17 | Test Loss = -0.9714
Iteration 18 | Test Loss = -0.8857
Iteration 19 | Test Loss = -0.8857
Result for kernel_classification_foodPoking_foodPoking_3000_all_mlp: -0.8829 ± 0.0663
Iteration 0 | Test Loss = -0.5455
Iteration 1 | Test Loss = -0.6364
Iteration 2 | Test Loss = -0.7273
Iteration 3 | Test Loss = -0.5455
Iteration 4 | Test Loss = -0.8182
Iteration 5 | Test Loss = -0.8182
Iteration 6 | Test Loss = -0.5455
Iteration 7 | Test Loss = -1.0000
Iteration 8 | Test Loss = -0.4545
Iteration 9 | Test Loss = -0.3636
Iteration 10 | Test Loss = -0.7273
Iteration 11 | Test Loss = -0.6364
Iteration 12 | Test Loss = -0.8182
Iteration 13 | Test Loss = -0.7273
Iteration 14 | Test Loss = -0.7273
Iteration 15 | Test Loss = -0.5455
Iteration 16 | Test Loss = -0.4545
Iteration 17 | Test Loss = -0.5455
Iteration 18 | Test Loss = -0.8182
Iteration 19 | Test Loss = -0.7273
Result for kernel_classification_handover_0_2000_all_svmlinear: -0.6591 ± 0.1545
Iteration 0 | Test Loss = -0.7273
Iteration 1 | Test Loss = -0.5455
Iteration 2 | Test Loss = -0.6364
Iteration 3 | Test Loss = -0.4545
Iteration 4 | Test Loss = -0.7273
Iteration 5 | Test Loss = -0.4545
Iteration 6 | Test Loss = -0.5455
Iteration 7 | Test Loss = -0.8182
Iteration 8 | Test Loss = -0.8182
Iteration 9 | Test Loss = -0.4545
Iteration 10 | Test Loss = -0.5455
Iteration 11 | Test Loss = -0.7273
Iteration 12 | Test Loss = -0.7273
Iteration 13 | Test Loss = -0.5455
Iteration 14 | Test Loss = -0.7273
Iteration 15 | Test Loss = -0.5455
Iteration 16 | Test Loss = -0.4545
Iteration 17 | Test Loss = -0.5455
Iteration 18 | Test Loss = -0.6364
Iteration 19 | Test Loss = -0.5455
Result for kernel_classification_handover_0_2000_all_svmrbf: -0.6091 ± 0.1189
Iteration 0 | Test Loss = -0.7273
Iteration 1 | Test Loss = -0.5455
Iteration 2 | Test Loss = -0.5455
Iteration 3 | Test Loss = -0.4545
Iteration 4 | Test Loss = -0.8182
Iteration 5 | Test Loss = -0.7273
Iteration 6 | Test Loss = -0.7273
Iteration 7 | Test Loss = -1.0000
Iteration 8 | Test Loss = -0.5455
Iteration 9 | Test Loss = -0.5455
Iteration 10 | Test Loss = -0.4545
Iteration 11 | Test Loss = -0.7273
Iteration 12 | Test Loss = -0.9091
Iteration 13 | Test Loss = -0.5455
Iteration 14 | Test Loss = -0.8182
Iteration 15 | Test Loss = -0.8182
Iteration 16 | Test Loss = -0.5455
Iteration 17 | Test Loss = -0.4545
Iteration 18 | Test Loss = -0.7273
Iteration 19 | Test Loss = -0.6364
Result for kernel_classification_handover_0_2000_all_mlp: -0.6636 ± 0.1551
Iteration 0 | Test Loss = -0.5455
Iteration 1 | Test Loss = -0.6364
Iteration 2 | Test Loss = -0.7273
Iteration 3 | Test Loss = -0.5455
Iteration 4 | Test Loss = -0.6364
Iteration 5 | Test Loss = -0.7273
Iteration 6 | Test Loss = -0.7273
Iteration 7 | Test Loss = -0.7273
Iteration 8 | Test Loss = -0.5455
Iteration 9 | Test Loss = -0.6364
Iteration 10 | Test Loss = -0.7273
Iteration 11 | Test Loss = -0.7273
Iteration 12 | Test Loss = -0.4545
Iteration 13 | Test Loss = -0.3636
Iteration 14 | Test Loss = -0.6364
Iteration 15 | Test Loss = -0.7273
Iteration 16 | Test Loss = -0.3636
Iteration 17 | Test Loss = -0.6364
Iteration 18 | Test Loss = -0.7273
Iteration 19 | Test Loss = -0.7273
Result for kernel_classification_handover_1_2000_all_svmlinear: -0.6273 ± 0.1182
Iteration 0 | Test Loss = -0.5455
Iteration 1 | Test Loss = -0.7273
Iteration 2 | Test Loss = -0.7273
Iteration 3 | Test Loss = -0.8182
Iteration 4 | Test Loss = -0.6364
Iteration 5 | Test Loss = -0.8182
Iteration 6 | Test Loss = -0.8182
Iteration 7 | Test Loss = -0.7273
Iteration 8 | Test Loss = -0.5455
Iteration 9 | Test Loss = -0.6364
Iteration 10 | Test Loss = -0.5455
Iteration 11 | Test Loss = -0.6364
Iteration 12 | Test Loss = -0.4545
Iteration 13 | Test Loss = -0.5455
Iteration 14 | Test Loss = -0.6364
Iteration 15 | Test Loss = -0.6364
Iteration 16 | Test Loss = -0.5455
Iteration 17 | Test Loss = -0.8182
Iteration 18 | Test Loss = -0.8182
Iteration 19 | Test Loss = -0.6364
Result for kernel_classification_handover_1_2000_all_svmrbf: -0.6636 ± 0.1117
Iteration 0 | Test Loss = -0.7273
Iteration 1 | Test Loss = -0.6364
Iteration 2 | Test Loss = -0.8182
Iteration 3 | Test Loss = -0.7273
Iteration 4 | Test Loss = -0.7273
Iteration 5 | Test Loss = -0.8182
Iteration 6 | Test Loss = -0.7273
Iteration 7 | Test Loss = -0.7273
Iteration 8 | Test Loss = -0.4545
Iteration 9 | Test Loss = -0.4545
Iteration 10 | Test Loss = -0.4545
Iteration 11 | Test Loss = -0.6364
Iteration 12 | Test Loss = -0.3636
Iteration 13 | Test Loss = -0.5455
Iteration 14 | Test Loss = -0.6364
Iteration 15 | Test Loss = -0.7273
Iteration 16 | Test Loss = -0.4545
Iteration 17 | Test Loss = -0.8182
Iteration 18 | Test Loss = -0.6364
Iteration 19 | Test Loss = -0.7273
Result for kernel_classification_handover_1_2000_all_mlp: -0.6409 ± 0.1363
Iteration 0 | Test Loss = -0.5455
Iteration 1 | Test Loss = -0.8182
Iteration 2 | Test Loss = -0.7273
Iteration 3 | Test Loss = -0.9091
Iteration 4 | Test Loss = -0.5455
Iteration 5 | Test Loss = -0.8182
Iteration 6 | Test Loss = -1.0000
Iteration 7 | Test Loss = -0.7273
Iteration 8 | Test Loss = -0.9091
Iteration 9 | Test Loss = -0.7273
Iteration 10 | Test Loss = -0.6364
Iteration 11 | Test Loss = -0.8182
Iteration 12 | Test Loss = -0.5455
Iteration 13 | Test Loss = -0.5455
Iteration 14 | Test Loss = -0.7273
Iteration 15 | Test Loss = -0.6364
Iteration 16 | Test Loss = -0.4545
Iteration 17 | Test Loss = -0.8182
Iteration 18 | Test Loss = -0.6364
Iteration 19 | Test Loss = -0.8182
Result for kernel_classification_handover_2_2000_all_svmlinear: -0.7182 ± 0.1435
Iteration 0 | Test Loss = -0.4545
Iteration 1 | Test Loss = -0.9091
Iteration 2 | Test Loss = -0.7273
Iteration 3 | Test Loss = -0.9091
Iteration 4 | Test Loss = -0.4545
Iteration 5 | Test Loss = -0.8182
Iteration 6 | Test Loss = -0.9091
Iteration 7 | Test Loss = -0.8182
Iteration 8 | Test Loss = -0.8182
Iteration 9 | Test Loss = -0.7273
Iteration 10 | Test Loss = -0.5455
Iteration 11 | Test Loss = -0.8182
Iteration 12 | Test Loss = -0.5455
Iteration 13 | Test Loss = -0.4545
Iteration 14 | Test Loss = -0.6364
Iteration 15 | Test Loss = -0.7273
Iteration 16 | Test Loss = -0.5455
Iteration 17 | Test Loss = -0.8182
Iteration 18 | Test Loss = -0.8182
Iteration 19 | Test Loss = -0.7273
Result for kernel_classification_handover_2_2000_all_svmrbf: -0.7091 ± 0.1537
Iteration 0 | Test Loss = -0.3636
Iteration 1 | Test Loss = -0.8182
Iteration 2 | Test Loss = -0.9091
Iteration 3 | Test Loss = -0.7273
Iteration 4 | Test Loss = -0.5455
Iteration 5 | Test Loss = -0.7273
Iteration 6 | Test Loss = -0.7273
Iteration 7 | Test Loss = -0.7273
Iteration 8 | Test Loss = -0.7273
Iteration 9 | Test Loss = -0.8182
Iteration 10 | Test Loss = -0.6364
Iteration 11 | Test Loss = -0.7273
Iteration 12 | Test Loss = -0.5455
Iteration 13 | Test Loss = -0.6364
Iteration 14 | Test Loss = -0.8182
Iteration 15 | Test Loss = -0.7273
Iteration 16 | Test Loss = -0.5455
Iteration 17 | Test Loss = -0.9091
Iteration 18 | Test Loss = -0.7273
Iteration 19 | Test Loss = -0.7273
Result for kernel_classification_handover_2_2000_all_mlp: -0.7045 ± 0.1282
Iteration 0 | Test Loss = -0.9714
Iteration 1 | Test Loss = -0.8857
Iteration 2 | Test Loss = -0.8857
Iteration 3 | Test Loss = -0.8857
Iteration 4 | Test Loss = -0.9429
Iteration 5 | Test Loss = -0.8857
Iteration 6 | Test Loss = -0.9429
Iteration 7 | Test Loss = -0.9429
Iteration 8 | Test Loss = -0.8857
Iteration 9 | Test Loss = -0.9429
Iteration 10 | Test Loss = -0.9714
Iteration 11 | Test Loss = -0.9143
Iteration 12 | Test Loss = -0.8857
Iteration 13 | Test Loss = -0.8286
Iteration 14 | Test Loss = -0.8857
Iteration 15 | Test Loss = -0.9429
Iteration 16 | Test Loss = -0.9143
Iteration 17 | Test Loss = -0.9714
Iteration 18 | Test Loss = -0.9143
Iteration 19 | Test Loss = -0.8571
Result for kernel_classification_foodPoking_foodPoking_2000_all_svmlinear: -0.9129 ± 0.0388
Iteration 0 | Test Loss = -0.9714
Iteration 1 | Test Loss = -0.9143
Iteration 2 | Test Loss = -0.9429
Iteration 3 | Test Loss = -0.9143
Iteration 4 | Test Loss = -0.9714
Iteration 5 | Test Loss = -0.9429
Iteration 6 | Test Loss = -0.9429
Iteration 7 | Test Loss = -0.9714
Iteration 8 | Test Loss = -0.9714
Iteration 9 | Test Loss = -0.9429
Iteration 10 | Test Loss = -0.9714
Iteration 11 | Test Loss = -0.9429
Iteration 12 | Test Loss = -0.9143
Iteration 13 | Test Loss = -0.8286
Iteration 14 | Test Loss = -0.9429
Iteration 15 | Test Loss = -0.9429
Iteration 16 | Test Loss = -0.9143
Iteration 17 | Test Loss = -0.9714
Iteration 18 | Test Loss = -0.9714
Iteration 19 | Test Loss = -0.8571
Result for kernel_classification_foodPoking_foodPoking_2000_all_svmrbf: -0.9371 ± 0.0379
Iteration 0 | Test Loss = -0.8857
Iteration 1 | Test Loss = -0.8857
Iteration 2 | Test Loss = -0.9429
Iteration 3 | Test Loss = -0.7714
Iteration 4 | Test Loss = -0.9143
Iteration 5 | Test Loss = -0.8571
Iteration 6 | Test Loss = -0.8857
Iteration 7 | Test Loss = -0.9429
Iteration 8 | Test Loss = -0.8857
Iteration 9 | Test Loss = -0.9714
Iteration 10 | Test Loss = -0.8571
Iteration 11 | Test Loss = -0.9143
Iteration 12 | Test Loss = -0.8571
Iteration 13 | Test Loss = -0.9143
Iteration 14 | Test Loss = -0.9143
Iteration 15 | Test Loss = -1.0000
Iteration 16 | Test Loss = -0.9429
Iteration 17 | Test Loss = -0.9143
Iteration 18 | Test Loss = -0.8857
Iteration 19 | Test Loss = -0.9429
Result for kernel_classification_foodPoking_foodPoking_2000_all_mlp: -0.9043 ± 0.0480
Iteration 0 | Test Loss = -0.5455
Iteration 1 | Test Loss = -0.7273
Iteration 2 | Test Loss = -0.4545
Iteration 3 | Test Loss = -0.7273
Iteration 4 | Test Loss = -0.7273
Iteration 5 | Test Loss = -0.8182
Iteration 6 | Test Loss = -0.7273
Iteration 7 | Test Loss = -0.7273
Iteration 8 | Test Loss = -0.8182
Iteration 9 | Test Loss = -0.9091
Iteration 10 | Test Loss = -0.6364
Iteration 11 | Test Loss = -0.9091
Iteration 12 | Test Loss = -0.6364
Iteration 13 | Test Loss = -0.8182
Iteration 14 | Test Loss = -0.8182
Iteration 15 | Test Loss = -0.5455
Iteration 16 | Test Loss = -0.6364
Iteration 17 | Test Loss = -0.7273
Iteration 18 | Test Loss = -0.5455
Iteration 19 | Test Loss = -0.7273
Result for kernel_classification_handover_0_1000_all_svmlinear: -0.7091 ± 0.1206
