Iteration 0 | Test Loss = -0.5455
Iteration 1 | Test Loss = -0.7273
Iteration 2 | Test Loss = -0.6364
Iteration 3 | Test Loss = -0.6364
Iteration 4 | Test Loss = -0.9091
Iteration 5 | Test Loss = -0.7273
Iteration 6 | Test Loss = -0.8182
Iteration 7 | Test Loss = -0.7273
Iteration 8 | Test Loss = -0.7273
Iteration 9 | Test Loss = -0.4545
Iteration 10 | Test Loss = -0.4545
Iteration 11 | Test Loss = -0.7273
Iteration 12 | Test Loss = -0.8182
Iteration 13 | Test Loss = -0.9091
Iteration 14 | Test Loss = -0.5455
Iteration 15 | Test Loss = -0.8182
Iteration 16 | Test Loss = -0.5455
Iteration 17 | Test Loss = -0.7273
Iteration 18 | Test Loss = -0.6364
Iteration 19 | Test Loss = -0.3636
Result for kernel_classification_handover_0_4000_all_svmlinear: -0.6727 ± 0.1477
Iteration 0 | Test Loss = -0.6364
Iteration 1 | Test Loss = -0.9091
Iteration 2 | Test Loss = -0.6364
Iteration 3 | Test Loss = -0.5455
Iteration 4 | Test Loss = -0.7273
Iteration 5 | Test Loss = -0.7273
Iteration 6 | Test Loss = -0.7273
Iteration 7 | Test Loss = -0.5455
Iteration 8 | Test Loss = -0.5455
Iteration 9 | Test Loss = -0.2727
Iteration 10 | Test Loss = -0.5455
Iteration 11 | Test Loss = -0.5455
Iteration 12 | Test Loss = -0.7273
Iteration 13 | Test Loss = -0.8182
Iteration 14 | Test Loss = -0.6364
Iteration 15 | Test Loss = -0.8182
Iteration 16 | Test Loss = -0.6364
Iteration 17 | Test Loss = -0.5455
Iteration 18 | Test Loss = -0.6364
Iteration 19 | Test Loss = -0.5455
Result for kernel_classification_handover_0_4000_all_svmrbf: -0.6364 ± 0.1348
Iteration 0 | Test Loss = -0.4545
Iteration 1 | Test Loss = -0.5455
Iteration 2 | Test Loss = -0.4545
Iteration 3 | Test Loss = -0.5455
Iteration 4 | Test Loss = -1.0000
Iteration 5 | Test Loss = -0.6364
Iteration 6 | Test Loss = -0.8182
Iteration 7 | Test Loss = -0.7273
Iteration 8 | Test Loss = -0.7273
Iteration 9 | Test Loss = -0.5455
Iteration 10 | Test Loss = -0.7273
Iteration 11 | Test Loss = -0.5455
Iteration 12 | Test Loss = -0.5455
Iteration 13 | Test Loss = -0.7273
Iteration 14 | Test Loss = -0.4545
Iteration 15 | Test Loss = -0.8182
Iteration 16 | Test Loss = -0.5455
Iteration 17 | Test Loss = -0.7273
Iteration 18 | Test Loss = -0.4545
Iteration 19 | Test Loss = -0.6364
Result for kernel_classification_handover_0_4000_all_mlp: -0.6318 ± 0.1451
Iteration 0 | Test Loss = -0.2727
Iteration 1 | Test Loss = -0.7273
Iteration 2 | Test Loss = -0.7273
Iteration 3 | Test Loss = -0.4545
Iteration 4 | Test Loss = -0.9091
Iteration 5 | Test Loss = -0.7273
Iteration 6 | Test Loss = -0.7273
Iteration 7 | Test Loss = -0.5455
Iteration 8 | Test Loss = -0.7273
Iteration 9 | Test Loss = -0.6364
Iteration 10 | Test Loss = -0.5455
Iteration 11 | Test Loss = -0.5455
Iteration 12 | Test Loss = -0.6364
Iteration 13 | Test Loss = -0.8182
Iteration 14 | Test Loss = -0.6364
Iteration 15 | Test Loss = -0.7273
Iteration 16 | Test Loss = -0.5455
Iteration 17 | Test Loss = -0.6364
Iteration 18 | Test Loss = -0.6364
Iteration 19 | Test Loss = -0.5455
Result for kernel_classification_handover_0_4000_neuhalf_svmlinear: -0.6364 ± 0.1348
Iteration 0 | Test Loss = -0.3636
Iteration 1 | Test Loss = -0.8182
Iteration 2 | Test Loss = -0.8182
Iteration 3 | Test Loss = -0.5455
Iteration 4 | Test Loss = -0.9091
Iteration 5 | Test Loss = -0.6364
Iteration 6 | Test Loss = -0.6364
Iteration 7 | Test Loss = -0.5455
Iteration 8 | Test Loss = -0.8182
Iteration 9 | Test Loss = -0.6364
Iteration 10 | Test Loss = -0.4545
Iteration 11 | Test Loss = -0.5455
Iteration 12 | Test Loss = -0.8182
Iteration 13 | Test Loss = -0.8182
Iteration 14 | Test Loss = -0.6364
Iteration 15 | Test Loss = -0.7273
Iteration 16 | Test Loss = -0.5455
Iteration 17 | Test Loss = -0.6364
Iteration 18 | Test Loss = -0.7273
Iteration 19 | Test Loss = -0.7273
Result for kernel_classification_handover_0_4000_neuhalf_svmrbf: -0.6682 ± 0.1387
Iteration 0 | Test Loss = -0.5455
Iteration 1 | Test Loss = -0.8182
Iteration 2 | Test Loss = -0.8182
Iteration 3 | Test Loss = -0.7273
Iteration 4 | Test Loss = -1.0000
Iteration 5 | Test Loss = -0.7273
Iteration 6 | Test Loss = -0.7273
Iteration 7 | Test Loss = -0.6364
Iteration 8 | Test Loss = -0.8182
Iteration 9 | Test Loss = -0.7273
Iteration 10 | Test Loss = -0.6364
Iteration 11 | Test Loss = -0.6364
Iteration 12 | Test Loss = -0.6364
Iteration 13 | Test Loss = -0.7273
Iteration 14 | Test Loss = -0.6364
Iteration 15 | Test Loss = -0.8182
Iteration 16 | Test Loss = -0.8182
Iteration 17 | Test Loss = -0.7273
Iteration 18 | Test Loss = -0.6364
Iteration 19 | Test Loss = -0.6364
Result for kernel_classification_handover_0_4000_neuhalf_mlp: -0.7227 ± 0.1015
Iteration 0 | Test Loss = -0.4545
Iteration 1 | Test Loss = -0.9091
Iteration 2 | Test Loss = -0.3636
Iteration 3 | Test Loss = -0.7273
Iteration 4 | Test Loss = -0.3636
Iteration 5 | Test Loss = -0.5455
Iteration 6 | Test Loss = -0.4545
Iteration 7 | Test Loss = -0.3636
Iteration 8 | Test Loss = -0.6364
Iteration 9 | Test Loss = -0.5455
Iteration 10 | Test Loss = -0.5455
Iteration 11 | Test Loss = -0.6364
Iteration 12 | Test Loss = -0.6364
Iteration 13 | Test Loss = -0.5455
Iteration 14 | Test Loss = -0.6364
Iteration 15 | Test Loss = -0.5455
Iteration 16 | Test Loss = -0.4545
Iteration 17 | Test Loss = -0.4545
Iteration 18 | Test Loss = -0.5455
Iteration 19 | Test Loss = -0.5455
Result for kernel_classification_handover_1_4000_all_svmlinear: -0.5455 ± 0.1286
Iteration 0 | Test Loss = -0.5455
Iteration 1 | Test Loss = -0.8182
Iteration 2 | Test Loss = -0.5455
Iteration 3 | Test Loss = -0.7273
Iteration 4 | Test Loss = -0.3636
Iteration 5 | Test Loss = -0.5455
Iteration 6 | Test Loss = -0.7273
Iteration 7 | Test Loss = -0.4545
Iteration 8 | Test Loss = -0.6364
Iteration 9 | Test Loss = -0.5455
Iteration 10 | Test Loss = -0.5455
Iteration 11 | Test Loss = -0.8182
Iteration 12 | Test Loss = -0.6364
Iteration 13 | Test Loss = -0.8182
Iteration 14 | Test Loss = -0.6364
Iteration 15 | Test Loss = -0.5455
Iteration 16 | Test Loss = -0.5455
Iteration 17 | Test Loss = -0.4545
Iteration 18 | Test Loss = -0.8182
Iteration 19 | Test Loss = -0.5455
Result for kernel_classification_handover_1_4000_all_svmrbf: -0.6136 ± 0.1313
Iteration 0 | Test Loss = -0.0909
Iteration 1 | Test Loss = -0.8182
Iteration 2 | Test Loss = -0.3636
Iteration 3 | Test Loss = -0.6364
Iteration 4 | Test Loss = -0.1818
Iteration 5 | Test Loss = -0.5455
Iteration 6 | Test Loss = -0.4545
Iteration 7 | Test Loss = -0.5455
Iteration 8 | Test Loss = -0.4545
Iteration 9 | Test Loss = -0.4545
Iteration 10 | Test Loss = -0.4545
Iteration 11 | Test Loss = -0.2727
Iteration 12 | Test Loss = -0.3636
Iteration 13 | Test Loss = -0.5455
Iteration 14 | Test Loss = -0.5455
Iteration 15 | Test Loss = -0.4545
Iteration 16 | Test Loss = -0.6364
Iteration 17 | Test Loss = -0.4545
Iteration 18 | Test Loss = -0.5455
Iteration 19 | Test Loss = -0.3636
Result for kernel_classification_handover_1_4000_all_mlp: -0.4591 ± 0.1587
Iteration 0 | Test Loss = -0.4545
Iteration 1 | Test Loss = -0.8182
Iteration 2 | Test Loss = -0.5455
Iteration 3 | Test Loss = -0.8182
Iteration 4 | Test Loss = -0.3636
Iteration 5 | Test Loss = -0.4545
Iteration 6 | Test Loss = -0.4545
Iteration 7 | Test Loss = -0.4545
Iteration 8 | Test Loss = -0.6364
Iteration 9 | Test Loss = -0.5455
Iteration 10 | Test Loss = -0.5455
Iteration 11 | Test Loss = -0.7273
Iteration 12 | Test Loss = -0.6364
Iteration 13 | Test Loss = -0.7273
Iteration 14 | Test Loss = -0.7273
Iteration 15 | Test Loss = -0.5455
Iteration 16 | Test Loss = -0.5455
Iteration 17 | Test Loss = -0.4545
Iteration 18 | Test Loss = -0.6364
Iteration 19 | Test Loss = -0.4545
Result for kernel_classification_handover_1_4000_neuhalf_svmlinear: -0.5773 ± 0.1294
Iteration 0 | Test Loss = -0.4545
Iteration 1 | Test Loss = -0.8182
Iteration 2 | Test Loss = -0.5455
Iteration 3 | Test Loss = -0.7273
Iteration 4 | Test Loss = -0.3636
Iteration 5 | Test Loss = -0.6364
Iteration 6 | Test Loss = -0.5455
Iteration 7 | Test Loss = -0.5455
Iteration 8 | Test Loss = -0.6364
Iteration 9 | Test Loss = -0.5455
Iteration 10 | Test Loss = -0.5455
Iteration 11 | Test Loss = -0.8182
Iteration 12 | Test Loss = -0.7273
Iteration 13 | Test Loss = -0.7273
Iteration 14 | Test Loss = -0.7273
Iteration 15 | Test Loss = -0.5455
Iteration 16 | Test Loss = -0.5455
Iteration 17 | Test Loss = -0.6364
Iteration 18 | Test Loss = -0.6364
Iteration 19 | Test Loss = -0.4545
Result for kernel_classification_handover_1_4000_neuhalf_svmrbf: -0.6091 ± 0.1189
Iteration 0 | Test Loss = -0.3636
Iteration 1 | Test Loss = -0.8182
Iteration 2 | Test Loss = -0.2727
Iteration 3 | Test Loss = -0.6364
Iteration 4 | Test Loss = -0.4545
Iteration 5 | Test Loss = -0.6364
Iteration 6 | Test Loss = -0.4545
Iteration 7 | Test Loss = -0.6364
Iteration 8 | Test Loss = -0.5455
Iteration 9 | Test Loss = -0.7273
Iteration 10 | Test Loss = -0.3636
Iteration 11 | Test Loss = -0.7273
Iteration 12 | Test Loss = -0.6364
Iteration 13 | Test Loss = -0.6364
Iteration 14 | Test Loss = -0.6364
Iteration 15 | Test Loss = -0.4545
Iteration 16 | Test Loss = -0.4545
Iteration 17 | Test Loss = -0.7273
Iteration 18 | Test Loss = -0.3636
Iteration 19 | Test Loss = -0.4545
Result for kernel_classification_handover_1_4000_neuhalf_mlp: -0.5500 ± 0.1479
Iteration 0 | Test Loss = -0.9091
Iteration 1 | Test Loss = -0.7273
Iteration 2 | Test Loss = -0.9091
Iteration 3 | Test Loss = -0.6364
Iteration 4 | Test Loss = -0.7273
Iteration 5 | Test Loss = -0.7273
Iteration 6 | Test Loss = -0.7273
Iteration 7 | Test Loss = -0.9091
Iteration 8 | Test Loss = -0.8182
Iteration 9 | Test Loss = -0.7273
Iteration 10 | Test Loss = -1.0000
Iteration 11 | Test Loss = -0.8182
Iteration 12 | Test Loss = -0.7273
Iteration 13 | Test Loss = -0.8182
Iteration 14 | Test Loss = -0.8182
Iteration 15 | Test Loss = -0.8182
Iteration 16 | Test Loss = -0.8182
Iteration 17 | Test Loss = -0.5455
Iteration 18 | Test Loss = -0.6364
Iteration 19 | Test Loss = -0.7273
Result for kernel_classification_handover_2_4000_all_svmlinear: -0.7773 ± 0.1055
Iteration 0 | Test Loss = -0.9091
Iteration 1 | Test Loss = -0.7273
Iteration 2 | Test Loss = -0.9091
Iteration 3 | Test Loss = -0.7273
Iteration 4 | Test Loss = -0.8182
Iteration 5 | Test Loss = -0.8182
Iteration 6 | Test Loss = -0.7273
Iteration 7 | Test Loss = -0.9091
Iteration 8 | Test Loss = -0.8182
Iteration 9 | Test Loss = -0.7273
Iteration 10 | Test Loss = -1.0000
Iteration 11 | Test Loss = -0.8182
Iteration 12 | Test Loss = -0.8182
Iteration 13 | Test Loss = -0.7273
Iteration 14 | Test Loss = -0.9091
Iteration 15 | Test Loss = -0.8182
Iteration 16 | Test Loss = -0.7273
Iteration 17 | Test Loss = -0.6364
Iteration 18 | Test Loss = -0.6364
Iteration 19 | Test Loss = -0.7273
Result for kernel_classification_handover_2_4000_all_svmrbf: -0.7955 ± 0.0948
Iteration 0 | Test Loss = -0.8182
Iteration 1 | Test Loss = -0.7273
Iteration 2 | Test Loss = -0.8182
Iteration 3 | Test Loss = -0.5455
Iteration 4 | Test Loss = -0.8182
Iteration 5 | Test Loss = -0.6364
Iteration 6 | Test Loss = -0.7273
Iteration 7 | Test Loss = -0.8182
Iteration 8 | Test Loss = -0.8182
Iteration 9 | Test Loss = -0.8182
Iteration 10 | Test Loss = -0.9091
Iteration 11 | Test Loss = -0.7273
Iteration 12 | Test Loss = -0.6364
Iteration 13 | Test Loss = -0.9091
Iteration 14 | Test Loss = -0.7273
Iteration 15 | Test Loss = -0.6364
Iteration 16 | Test Loss = -0.8182
Iteration 17 | Test Loss = -0.6364
Iteration 18 | Test Loss = -0.6364
Iteration 19 | Test Loss = -0.6364
Result for kernel_classification_handover_2_4000_all_mlp: -0.7409 ± 0.1007
Iteration 0 | Test Loss = -0.9091
Iteration 1 | Test Loss = -0.6364
Iteration 2 | Test Loss = -0.9091
Iteration 3 | Test Loss = -0.6364
Iteration 4 | Test Loss = -0.9091
Iteration 5 | Test Loss = -0.6364
Iteration 6 | Test Loss = -0.5455
Iteration 7 | Test Loss = -0.8182
Iteration 8 | Test Loss = -0.6364
Iteration 9 | Test Loss = -0.7273
Iteration 10 | Test Loss = -0.9091
Iteration 11 | Test Loss = -0.8182
Iteration 12 | Test Loss = -0.6364
Iteration 13 | Test Loss = -0.9091
Iteration 14 | Test Loss = -0.8182
Iteration 15 | Test Loss = -0.8182
Iteration 16 | Test Loss = -0.9091
Iteration 17 | Test Loss = -0.4545
Iteration 18 | Test Loss = -0.5455
Iteration 19 | Test Loss = -0.8182
Result for kernel_classification_handover_2_4000_neuhalf_svmlinear: -0.7500 ± 0.1434
Iteration 0 | Test Loss = -0.8182
Iteration 1 | Test Loss = -0.8182
Iteration 2 | Test Loss = -0.8182
Iteration 3 | Test Loss = -0.6364
Iteration 4 | Test Loss = -0.8182
Iteration 5 | Test Loss = -0.6364
Iteration 6 | Test Loss = -0.7273
Iteration 7 | Test Loss = -0.8182
Iteration 8 | Test Loss = -0.7273
Iteration 9 | Test Loss = -0.7273
Iteration 10 | Test Loss = -0.8182
Iteration 11 | Test Loss = -0.8182
Iteration 12 | Test Loss = -0.8182
Iteration 13 | Test Loss = -0.7273
Iteration 14 | Test Loss = -0.8182
Iteration 15 | Test Loss = -0.9091
Iteration 16 | Test Loss = -0.7273
Iteration 17 | Test Loss = -0.6364
Iteration 18 | Test Loss = -0.6364
Iteration 19 | Test Loss = -0.8182
Result for kernel_classification_handover_2_4000_neuhalf_svmrbf: -0.7636 ± 0.0782
Iteration 0 | Test Loss = -0.7273
Iteration 1 | Test Loss = -0.6364
Iteration 2 | Test Loss = -0.7273
Iteration 3 | Test Loss = -0.6364
Iteration 4 | Test Loss = -0.9091
Iteration 5 | Test Loss = -0.5455
Iteration 6 | Test Loss = -0.7273
Iteration 7 | Test Loss = -0.7273
Iteration 8 | Test Loss = -0.7273
Iteration 9 | Test Loss = -0.5455
Iteration 10 | Test Loss = -0.9091
Iteration 11 | Test Loss = -0.7273
Iteration 12 | Test Loss = -0.7273
Iteration 13 | Test Loss = -0.9091
Iteration 14 | Test Loss = -0.6364
Iteration 15 | Test Loss = -0.6364
Iteration 16 | Test Loss = -0.7273
Iteration 17 | Test Loss = -0.4545
Iteration 18 | Test Loss = -0.7273
Iteration 19 | Test Loss = -0.6364
Result for kernel_classification_handover_2_4000_neuhalf_mlp: -0.7000 ± 0.1154
Iteration 0 | Test Loss = -0.8857
Iteration 1 | Test Loss = -0.8571
Iteration 2 | Test Loss = -0.9429
Iteration 3 | Test Loss = -0.9143
